Data/Hora;Latitude;Longitude;Velocidade(km/h);Posição(km);Placa Virtual;Trecho;F máxima(tf);ACT(mm);PEG(PSI)
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
44812,53545;-4,40454854;-42,3425765;16,92;742,56;732744;T6;-81,00344704;-31,59132018;88,03053764
